"Age","Overall","Potential","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Body.Type","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","Release.Clause","attack_Work.Rate","defend_Work.Rate","PositionGroup","cluster"
27,91,93,72000,260,1471,"1",4,3,1,"1",193.04,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,90,85,87,88,94,138600,"2","2","GK",3
32,89,89,38000,130,1473,"1",5,4,1,"2",193.04,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,90,86,91,87,87,62700,"2","2","GK",3
27,87,90,51000,115,1660,"1",3,3,2,"2",187.96,196,55,55,55,54,55,55,55,54,55,55,55,58,61,61,61,58,74,78,78,78,74,78,87,87,87,78,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5,90500,"3","3","DEF",3
24,86,90,41500,125,1463,"0",2,3,1,"2",187.96,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,85,80,91,82,87,79900,"2","2","GK",3
27,85,87,37500,96,1642,"1",3,2,2,"2",187.96,183,52,52,52,52,51,51,51,52,52,52,52,56,59,59,59,56,75,77,77,77,75,79,86,86,86,79,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12,66600,"1","3","DEF",3
22,84,90,36500,84,1648,"1",2,3,2,"3",195.58,214,58,58,58,51,54,54,54,51,54,54,54,54,62,62,62,54,71,77,77,77,71,75,83,83,83,75,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,30,32,72,82,85,83,15,7,14,7,15,67500,"2","2","DEF",3
24,83,88,25000,78,1435,"0",1,4,1,"2",185.42,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,15,55,20,14,18,16,55,40,53,44,55,83,55,31,72,45,70,13,30,24,18,68,41,69,16,20,12,83,78,88,81,86,49400,"2","2","GK",3
30,83,83,19000,86,1582,"1",3,2,2,"2",190.5,176,54,54,54,47,50,50,50,47,49,49,49,51,57,57,57,51,69,75,75,75,69,72,84,84,84,72,29,27,85,63,17,51,35,26,59,59,50,52,34,78,51,57,81,67,90,20,86,83,24,23,39,79,82,85,82,10,14,5,8,10,36100,"1","2","DEF",3
31,82,82,15000,73,1633,"1",3,2,2,"2",195.58,187,59,59,59,53,56,56,56,53,55,55,55,57,64,64,64,57,72,79,79,79,72,74,84,84,84,74,44,41,89,64,35,48,46,37,62,72,36,43,29,84,32,63,41,74,91,26,84,85,32,47,26,86,85,85,78,8,9,12,11,14,25500,"2","2","DEF",3
26,80,83,15500,80,1667,"1",1,3,2,"2",187.96,187,56,56,56,50,53,53,53,50,53,53,53,54,60,60,60,54,69,74,74,74,69,72,80,80,80,72,33,31,82,71,24,47,30,34,56,56,56,65,42,77,42,71,73,76,84,34,82,80,27,45,48,74,82,82,76,9,13,15,9,15,30600,"2","2","DEF",3
24,80,86,17500,73,1647,"1",2,3,2,"2",187.96,176,56,56,56,54,54,54,54,54,54,54,54,57,59,59,59,57,70,73,73,73,70,73,81,81,81,73,34,36,82,63,51,62,20,24,58,63,65,69,58,77,59,38,76,67,79,20,76,82,34,32,30,74,85,84,80,14,9,6,9,5,33300,"2","3","DEF",3
33,80,80,6000,68,1640,"1",3,2,2,"2",190.5,179,55,55,55,51,51,51,51,51,52,52,52,54,60,60,60,54,69,74,74,74,69,72,81,81,81,72,39,35,83,68,43,46,33,27,67,57,49,62,49,72,52,46,73,76,86,35,82,79,33,28,39,71,77,82,78,15,5,7,6,11,11400,"2","3","DEF",3
21,79,85,15000,10,1641,"1",1,4,2,"3",185.42,181,55,55,55,52,54,54,54,52,53,53,53,55,58,58,58,55,69,72,72,72,69,71,79,79,79,71,34,29,81,69,30,54,33,26,44,60,63,64,47,75,56,54,76,77,78,22,94,76,39,34,45,72,79,80,75,7,8,13,7,12,33000,"2","3","DEF",3
25,79,81,13000,48,1642,"1",2,3,2,"2",185.42,183,54,54,54,51,52,52,52,51,53,53,53,54,59,59,59,54,67,72,72,72,67,70,79,79,79,70,38,38,83,66,33,53,28,32,56,58,51,53,48,74,56,37,90,67,85,29,79,77,34,42,41,68,76,83,77,15,12,15,10,6,23100,"2","3","DEF",3
27,79,81,12500,56,1667,"1",1,3,2,"2",185.42,179,61,61,61,55,57,57,57,55,54,54,54,55,59,59,59,55,67,72,72,72,67,70,79,79,79,70,40,48,82,64,40,54,46,25,58,66,52,52,34,77,48,54,84,55,77,50,82,80,50,22,35,72,78,82,78,7,9,13,10,15,22200,"2","2","DEF",3
28,79,79,10000,39,1659,"0",2,2,2,"2",193.04,190,54,54,54,52,53,53,53,52,54,54,54,56,59,59,59,56,69,71,71,71,69,72,79,79,79,72,47,20,85,57,45,58,40,42,49,63,54,55,45,78,48,52,61,63,79,22,76,79,41,51,50,71,81,84,79,16,8,7,8,16,17000,"2","2","DEF",3
26,78,81,11000,54,1584,"1",2,3,2,"1",193.04,192,51,51,51,50,49,49,49,50,50,50,50,53,56,56,56,53,69,71,71,71,69,72,79,79,79,72,45,22,79,59,28,49,29,23,59,61,62,68,49,71,58,39,67,67,86,29,78,80,29,31,26,70,79,80,79,12,9,5,11,15,19500,"2","3","DEF",3
24,78,83,12000,39,1616,"1",1,3,2,"2",187.96,196,51,51,51,52,50,50,50,52,53,53,53,55,59,59,59,55,69,72,72,72,69,72,79,79,79,72,46,23,79,65,33,50,29,16,57,65,60,63,67,75,51,40,85,70,84,27,83,76,23,40,19,71,80,77,76,10,15,7,10,15,23700,"2","3","DEF",3
26,78,81,11000,46,1632,"1",1,4,2,"2",193.04,194,57,57,57,52,56,56,56,52,56,56,56,56,64,64,64,56,67,75,75,75,67,69,78,78,78,69,32,37,76,71,24,60,23,39,74,68,38,50,47,79,42,72,72,64,82,21,80,78,30,45,36,72,80,76,78,15,16,9,12,6,21700,"3","3","DEF",3
35,78,78,2400,50,1446,"1",3,3,1,"2",182.88,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,18,56,11,22,25,38,54,41,58,54,63,73,62,22,81,41,69,17,40,23,16,69,23,64,15,18,19,78,77,85,75,78,4500,"2","2","GK",3
29,78,79,9000,53,1616,"1",2,3,2,"2",193.04,163,52,52,52,51,52,52,52,51,55,55,55,55,62,62,62,55,68,74,74,74,68,70,79,79,79,70,45,29,78,70,28,50,33,31,60,59,41,49,47,76,50,40,76,65,79,29,80,78,38,54,43,74,81,80,79,11,8,6,9,14,17800,"2","2","DEF",3
27,78,78,8500,58,1644,"1",1,3,2,"2",185.42,181,53,53,53,52,52,52,52,52,55,55,55,56,61,61,61,56,69,74,74,74,69,71,78,78,78,71,41,31,80,70,33,54,31,30,61,67,55,53,55,77,65,48,75,68,78,23,79,78,21,45,35,70,77,78,77,14,12,7,14,12,16200,"2","3","DEF",3
